  ID                          Tag  Name
   0              Concrete Rubble  Concrete Rubble
   1                 Metal Rubble  Metal Rubble
   2           GENERIC_MACHINE_10  Machine
   3            GENERIC_MACHINE_9  Machine
   4            GENERIC_MACHINE_8  Machine
   5            GENERIC_MACHINE_7  Machine
   6            GENERIC_MACHINE_6  Machine
   7            GENERIC_MACHINE_5  Machine
   8            GENERIC_MACHINE_4  Machine
   9            GENERIC_MACHINE_3  Machine
  10            GENERIC_MACHINE_2  Machine
  11            GENERIC_MACHINE_1  Machine
  12             Terminal vFe.01a  Terminal
  13             Terminal vNi.03a  Terminal
  14             Terminal vCu.03a  Terminal
  15             Terminal vZn.06a  Terminal
  16             Terminal vAg.06a  Terminal
  17             Terminal vTi.06n  Terminal
  18             Terminal vCo.08n  Terminal
  19             Terminal vMn.10n  Terminal
  20             Terminal vMo.07n  Terminal
  21             Terminal vPd.10n  Terminal
  22             Terminal vCd.08n  Terminal
  23             Terminal vZr.10n  Terminal
  24              Terminal vY.10n  Terminal
  25              Terminal vW.10x  Terminal
  26             Terminal vIr.12x  Terminal
  27             Terminal vPt.12x  Terminal
  28             Terminal vAu.13x  Terminal
  29             Terminal vHg.20x  Terminal
  30             Terminal vRh.10x  Terminal
  31           Fabricator vLi.07a  Fabricator
  32           Fabricator vNa.07a  Fabricator
  33            Fabricator vK.08a  Fabricator
  34           Fabricator vCs.10n  Fabricator
  35           Fabricator vBe.12n  Fabricator
  36           Fabricator vMg.13n  Fabricator
  37           Fabricator vCa.14x  Fabricator
  38           Fabricator vSr.14x  Fabricator
  39           Fabricator vBa.16x  Fabricator
  40           Fabricator vRa.19x  Fabricator
  41               Repair vAl.08a  Repair Station
  42               Repair vGa.08a  Repair Station
  43               Repair vIn.08a  Repair Station
  44               Repair vSn.08n  Repair Station
  45               Repair vTl.10n  Repair Station
  46               Repair vPb.11n  Repair Station
  47               Repair vBi.12x  Repair Station
  48               Repair vPo.13x  Repair Station
  49             Recycling vH.06a  Recycling Unit
  50             Recycling vN.06a  Recycling Unit
  51             Recycling vO.08n  Recycling Unit
  52             Recycling vF.08n  Recycling Unit
  53             Recycling vP.10x  Recycling Unit
  54             Recycling vI.14x  Recycling Unit
  55           Scanalyzer vHe.07a  Scanalyzer
  56           Scanalyzer vNe.13n  Scanalyzer
  57           Scanalyzer vAr.15x  Scanalyzer
  58           Scanalyzer vXe.13x  Scanalyzer
  59              Garrison vCe.6a  Garrison Access
  60              Garrison vPr.8a  Garrison Access
  61              Garrison vNd.9n  Garrison Access
  62              Garrison vPm.7n  Garrison Access
  63             Garrison vSm.13x  Garrison Access
  64              Garrison vEu.9x  Garrison Access
  65                           T1  Derelict Terminal
  66               Core Extractor  Core Extractor
  67                   Pulverizer  Pulverizer
  68                  Laser Drill  Laser Drill
  69              Plasma Injector  Plasma Injector
  70       Seismic Survey Station  Seismic Survey Station
  71                  Matter Pump  Matter Pump
  72              Pressure Siphon  Pressure Siphon
  73              Nuclear Reactor  Nuclear Reactor
  74             Neutrino Reactor  Neutrino Reactor
  75             Fusion Modulator  Fusion Modulator
  76            Quantum Generator  Quantum Generator
  77          Dark Matter Chamber  Dark Matter Chamber
  78          Hypermatter Reactor  Hypermatter Reactor
  79            Compression Vault  Compression Vault
  80            Component Storage  Component Storage
  81                Holding Depot  Holding Depot
  82              Packing Station  Packing Station
  83                Arsenal Racks  Arsenal Racks
  84         Extraspacial Lockers  Extraspacial Lockers
  85                Energy Cycler  Energy Cycler
  86          Transport Mainframe  Transport Mainframe
  87               Transfer Shaft  Transfer Shaft
  88             Hadron Collector  Hadron Collector
  89         Electrolysis Chamber  Electrolysis Chamber
  90              Processing Tank  Processing Tank
  91            Atomic Centrifuge  Atomic Centrifuge
  92         Purification Channel  Purification Channel
  93          Integration Channel  Integration Channel
  94           Material Processor  Material Processor
  95           Material Compactor  Material Compactor
  96                Matter Filter  Matter Filter
  97      Manufacturing Mainframe  Manufacturing Mainframe
  98        Construction Platform  Construction Platform
  99                 Assembly Bed  Assembly Bed
 100               Megafabricator  Megafabricator
 101      Subcomponent Replicator  Subcomponent Replicator
 102                Power Conduit  Power Conduit
 103           Research Mainframe  Research Mainframe
 104       Antiparticle Reservoir  Antiparticle Reservoir
 105             Reaction Chamber  Reaction Chamber
 106               Vacuum Chamber  Vacuum Chamber
 107          Subatomic Condenser  Subatomic Condenser
 108                   Catalytron  Catalytron
 109              Meson Extractor  Meson Extractor
 110          Antimatter Diverter  Antimatter Diverter
 111            Field Manipulator  Field Manipulator
 112         Particle Synthesizer  Particle Synthesizer
 113            Quantum Separator  Quantum Separator
 114             Wave Intensifier  Wave Intensifier
 115         Proton Scatter Basin  Proton Scatter Basin
 116              Ion Accelerator  Ion Accelerator
 117       Magnetic Photon System  Magnetic Photon System
 118                Hypercollider  Hypercollider
 119          Graviton Restrictor  Graviton Restrictor
 120          Potential Refractor  Potential Refractor
 121          Prototyping Station  Prototyping Station
 122          Engineering Station  Engineering Station
 123            Biostasis Chamber  Biostasis Chamber
 124          Organic Neutralizer  Organic Neutralizer
 125           Containment Shield  Containment Shield
 126            Testing Mainframe  Testing Mainframe
 127       Sonic Impulse Analyzer  Sonic Impulse Analyzer
 128                 Field Warper  Field Warper
 129               Gravity Sphere  Gravity Sphere
 130          Quantum Transformer  Quantum Transformer
 131                    Focalizer  Focalizer
 132            Phase Constrictor  Phase Constrictor
 133            Resonance Scanner  Resonance Scanner
 134                  Tau Charger  Tau Charger
 135     Harmonic Fracturing Unit  Harmonic Fracturing Unit
 136        Antiparticle Suffusor  Antiparticle Suffusor
 137       Thermocompressor Array  Thermocompressor Array
 138             Cryocooling Duct  Cryocooling Duct
 139             Artifact Storage  Artifact Storage
 140        Cryopreservation Unit  Cryopreservation Unit
 141                 Biostim Tank  Biostim Tank
 142               Quarantine Pod  Quarantine Pod
 143              Aeration Cycler  Aeration Cycler
 144          Deconstruction Unit  Deconstruction Unit
 145                   Anatomizer  Anatomizer
 146                Cloning Tubes  Cloning Tubes
 147               Cell Assembler  Cell Assembler
 148       Molecular Binding Bank  Molecular Binding Bank
 149             Anti-Ion Cluster  Anti-Ion Cluster
 150              Deuterium Array  Deuterium Array
 151                    Mainframe  Mainframe
 152                      Storage  Storage
 153         Retrofitting Station  Retrofitting Station
 154                Signal Jammer  Signal Jammer
 155              Cloak Generator  Cloak Generator
 156            Decryption Engine  Decryption Engine
 157             Backup Mainframe  Backup Mainframe
 158                 Archive Unit  Archive Unit
 159                 Control Node  Control Node
 160         Operations Mainframe  Operations Mainframe
 161               Quantum Router  Quantum Router
 162            Hyperwave Decoder  Hyperwave Decoder
 163      Sealed Freight Elevator  Sealed Freight Elevator
 164          Radio-Gravity Array  Radio-Gravity Array
 165         Anti-Orbital Battery  Anti-Orbital Battery
 166         Spectral Interrupter  Spectral Interrupter
 167       Wave Collapse Detector  Wave Collapse Detector
 168                Signal Shield  Signal Shield
 169          Longscan Aggregator  Longscan Aggregator
 170                   Blade Trap  Blade Trap
 171              Segregator Trap  Segregator Trap
 172               Explosive Trap  Explosive Trap
 173         Heavy Explosive Trap  Heavy Explosive Trap
 174             Tiamat Bomb Trap  Tiamat Bomb Trap
 175             Fusion Bomb Trap  Fusion Bomb Trap
 176                Hellfire Trap  Hellfire Trap
 177              Armageddon Trap  Armageddon Trap
 178              Dirty Bomb Trap  Dirty Bomb Trap
 179                     EMP Trap  EMP Trap
 180             Proton Bomb Trap  Proton Bomb Trap
 181              Tesla Bomb Trap  Tesla Bomb Trap
 182              Gamma Bomb Trap  Gamma Bomb Trap
 183                Shrapnel Trap  Shrapnel Trap
 184                Piercing Trap  Piercing Trap
 185                   Shock Trap  Shock Trap
 186                EM Surge Trap  EM Surge Trap
 187                    Fire Trap  Fire Trap
 188                  Stasis Trap  Stasis Trap
 189                   Alarm Trap  Alarm Trap
 190                  Ambush Trap  Ambush Trap
 191                   Chute Trap  Chute Trap
 197             Collapsed Tunnel  Collapsed Tunnel
 215                Door Terminal  Door Terminal
 216                   DSF Access  DSF Access
 217          Broken Shaft Lining  Broken Shaft Lining
 218          XXX_Blast_Door_Open  Blast Doors
 219      XXX_Blast_Door_Hackable  Sealed Blast Doors
 220       ACC_Door_Shootable_SUR  Sealed Heavy Doors
 221       ACC_Door_Shootable_COM  Sealed Heavy Doors
 222            ACC_Door_Hackable  Sealed Barrier
 223          ACC_Shell_Shootable  Main Access Shell
 224             Main Access Lift  Main Access Lift
 226                STO_Door_Open  Heavy Doors
 227            STO_Door_Hackable  Sealed Heavy Doors
 228          STO_Shell_Shootable  Storage Shell
 229           GAR_Door_Shootable  Garrison Door
 230                    GAR_Relay  Garrison Relay
 231                GAR_Generator  Phase Generator
 232            GAR_RIF_Installer  RIF Installer
 233            Garrison Terminal  Garrison Terminal
 234          GAR_Heavy_Assembler  H-XX Assembler
 235             GAR_QS_Assembler  QS Assembler
